date,latitude,longitude,sunrise_utc,sunset_utc,sunrise_ist,sunset_ist,day_length_seconds,fetched_at_ist
2026-03-01,19.076,72.8777,2026-03-01T01:26:37+00:00,2026-03-01T13:15:02+00:00,2026-03-01T06:56:37+05:30,2026-03-01T18:45:02+05:30,42505,2026-03-04T02:01:02.174774+05:30
2026-03-02,19.076,72.8777,2026-03-02T01:25:54+00:00,2026-03-02T13:15:22+00:00,2026-03-02T06:55:54+05:30,2026-03-02T18:45:22+05:30,42568,2026-03-04T02:01:02.612357+05:30
2026-03-03,19.076,72.8777,2026-03-03T01:25:09+00:00,2026-03-03T13:15:41+00:00,2026-03-03T06:55:09+05:30,2026-03-03T18:45:41+05:30,42632,2026-03-04T02:01:03.034639+05:30
2020-01-01,19.076,72.8777,2020-01-01T01:40:24+00:00,2020-01-01T12:43:01+00:00,2020-01-01T07:10:24+05:30,2020-01-01T18:13:01+05:30,39757,2026-03-04T01:45:19.326848+05:30
2020-01-02,19.076,72.8777,2020-01-02T01:40:45+00:00,2020-01-02T12:43:37+00:00,2020-01-02T07:10:45+05:30,2020-01-02T18:13:37+05:30,39772,2026-03-04T01:45:19.731595+05:30
2020-01-03,19.076,72.8777,2020-01-03T01:41:04+00:00,2020-01-03T12:44:14+00:00,2020-01-03T07:11:04+05:30,2020-01-03T18:14:14+05:30,39790,2026-03-04T01:45:20.139581+05:30
2020-01-04,19.076,72.8777,2020-01-04T01:41:22+00:00,2020-01-04T12:44:51+00:00,2020-01-04T07:11:22+05:30,2020-01-04T18:14:51+05:30,39809,2026-03-04T01:45:20.546839+05:30
2020-01-05,19.076,72.8777,2020-01-05T01:41:39+00:00,2020-01-05T12:45:28+00:00,2020-01-05T07:11:39+05:30,2020-01-05T18:15:28+05:30,39829,2026-03-04T01:45:20.972255+05:30
2020-01-06,19.076,72.8777,2020-01-06T01:41:55+00:00,2020-01-06T12:46:06+00:00,2020-01-06T07:11:55+05:30,2020-01-06T18:16:06+05:30,39851,2026-03-04T01:45:21.381407+05:30
2020-01-07,19.076,72.8777,2020-01-07T01:42:10+00:00,2020-01-07T12:46:44+00:00,2020-01-07T07:12:10+05:30,2020-01-07T18:16:44+05:30,39874,2026-03-04T01:45:21.798507+05:30
2020-01-08,19.076,72.8777,2020-01-08T01:42:24+00:00,2020-01-08T12:47:22+00:00,2020-01-08T07:12:24+05:30,2020-01-08T18:17:22+05:30,39898,2026-03-04T01:45:22.203463+05:30
2020-01-09,19.076,72.8777,2020-01-09T01:42:36+00:00,2020-01-09T12:48:00+00:00,2020-01-09T07:12:36+05:30,2020-01-09T18:18:00+05:30,39924,2026-03-04T01:45:22.623648+05:30
